Designator,Mid X,Mid Y,Rotation,Layer
SW52,51.875151,-90.37,180.0,bottom
SW53,70.925151,-90.37,180.0,bottom
SW54,89.975151,-90.37,180.0,bottom
SW55,109.025151,-90.37,180.0,bottom
SW56,128.075151,-90.37,180.0,bottom
SW57,147.125151,-90.37,180.0,bottom
SW58,175.700151,-90.37,180.0,bottom
SW59,204.275151,-90.37,180.0,bottom
SW60,42.350151,-109.42,180.0,bottom
SW61,61.400151,-109.42,180.0,bottom
SW62,80.450151,-109.42,180.0,bottom
SW63,99.500151,-109.42,180.0,bottom
SW64,118.550151,-109.42,180.0,bottom
SW65,137.600151,-109.42,180.0,bottom
SW66,156.650151,-109.42,180.0,bottom
SW67,180.462651,-109.42,180.0,bottom
SW68,204.275151,-109.42,180.0,bottom
SW69,47.112651,-128.47,180.0,bottom
SW70,66.162651,-128.47,180.0,bottom
SW71,85.212651,-128.47,180.0,bottom
SW72,104.262651,-128.47,180.0,bottom
SW73,123.312651,-128.47,180.0,bottom
SW74,142.362651,-128.47,180.0,bottom
SW75,173.318901,-128.47,180.0,bottom
SW76,204.275151,-128.47,180.0,bottom
SW77,56.637651,-147.52,180.0,bottom
SW78,75.687651,-147.52,180.0,bottom
SW79,94.737651,-147.52,180.0,bottom
SW80,113.787651,-147.52,180.0,bottom
SW81,132.837651,-147.52,180.0,bottom
SW82,159.031401,-147.52,180.0,bottom
SW83,185.225151,-147.52,180.0,bottom
SW84,204.275151,-147.52,180.0,bottom
SW85,49.493901,-166.57,180.0,bottom
SW86,85.212651,-166.57,180.0,bottom
SW87,104.262651,-166.57,180.0,bottom
SW88,123.312651,-166.57,180.0,bottom
SW89,144.743901,-166.57,180.0,bottom
SW90,166.175151,-166.57,180.0,bottom
SW91,185.225151,-166.57,180.0,bottom
SW92,204.275151,-166.57,180.0,bottom
SW93,228.9225,-75.13,0.0,top
SW94,247.3375,-71.32,180.0,bottom
SW95,266.3875,-71.32,180.0,bottom
SW96,285.4375,-71.32,180.0,bottom
SW97,304.4875,-71.32,180.0,bottom
SW98,323.5375,-71.32,180.0,bottom
SW99,342.5875,-71.32,180.0,bottom
U2,45.830151,-59.43,90.0,top
U3,333.7675,-58.93,90.0,top
